"","caseid","V012","V106","V107","V130","V131","V190","V201","V212","V217","V218","V221","V244","V301","V302A","V312","V364","V384A","V384B","V384C","V384D"
"1","1001",30,3,3,1,4,4,3,24,2,3,8,1,3,NA,6,1,0,1,0,0
"2","1002",22,3,1,2,1,4,1,20,2,1,10,1,3,NA,3,1,0,1,0,0
"3","1003",47,2,5,1,3,5,4,25,2,4,13,1,3,NA,5,1,0,1,0,0
"4","1004",20,3,2,1,1,5,0,NA,2,0,NA,1,3,0,0,3,0,1,1,0
"5","1005",26,3,1,1,13,5,1,22,8,1,996,1,3,1,0,4,0,1,0,0
"6","1006",49,2,5,1,13,5,7,21,3,6,15,1,3,1,0,4,0,1,0,0
"7","1007",22,3,2,1,4,5,0,NA,8,0,NA,1,3,0,0,4,0,1,0,0
"8","1008",22,3,2,1,4,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"9","1009",46,3,1,2,1,5,4,20,3,4,5,1,3,1,0,4,0,1,1,0
"10","1010",21,3,3,2,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"11","1011",17,2,5,2,1,5,0,NA,8,0,NA,8,3,0,0,4,1,1,0,0
"12","1012",46,2,5,1,1,4,0,NA,8,0,NA,1,3,0,0,4,0,1,0,0
"13","1013",22,3,2,1,96,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"14","1014",48,3,3,1,1,5,3,19,2,3,13,1,3,1,0,3,0,0,0,0
"15","1015",30,3,3,2,1,5,0,NA,5,0,NA,1,3,0,0,4,0,1,0,0
"16","1016",21,2,5,1,1,5,0,NA,2,0,NA,1,3,0,0,4,1,1,1,1
"17","1017",37,3,3,1,1,4,2,30,2,2,11,1,3,1,0,3,0,0,0,0
"18","1018",37,2,5,1,3,4,0,NA,8,0,NA,1,3,0,0,4,1,1,1,0
"19","1019",21,3,2,1,3,4,0,NA,8,0,NA,1,3,0,0,3,0,1,1,0
"20","1020",18,2,5,1,3,4,0,NA,8,0,NA,0,3,0,0,4,0,1,1,0
"21","1021",24,3,3,1,1,4,3,19,2,3,2,1,3,NA,1,1,0,0,0,0
"22","1022",45,2,2,1,5,5,3,25,3,3,11,1,3,NA,1,1,1,1,0,0
"23","1023",20,3,3,1,1,5,0,NA,5,0,NA,1,3,0,0,4,0,1,1,1
"24","1024",46,2,5,1,6,4,3,22,3,3,16,1,3,1,0,4,0,1,0,0
"25","1025",19,3,3,1,1,4,0,NA,5,0,NA,1,3,0,0,4,1,1,1,0
"26","1026",20,3,3,1,1,4,1,19,2,1,5,1,3,NA,9,2,1,0,0,0
"27","1027",25,2,5,1,1,4,3,18,4,3,6,1,3,NA,1,1,1,1,1,0
"28","1028",18,2,5,1,1,4,1,17,4,1,20,0,3,NA,1,1,0,0,0,0
"29","1029",47,3,1,1,1,5,4,29,3,4,15,1,3,1,0,4,1,1,1,0
"30","1030",49,1,4,1,3,3,4,26,4,4,4,1,3,1,0,4,1,1,0,0
"31","1031",38,2,5,1,1,4,6,19,2,6,29,1,3,NA,9,2,0,0,0,0
"32","1032",18,2,4,1,1,4,0,NA,3,0,NA,0,3,0,0,3,0,0,0,0
"33","1033",16,2,2,1,1,4,0,NA,5,0,NA,1,3,0,0,3,0,0,0,0
"34","1034",42,2,4,1,1,4,1,28,4,1,22,1,3,NA,9,2,0,0,0,0
"35","1035",21,3,3,1,1,3,0,NA,8,0,NA,1,3,0,0,3,0,1,1,0
"36","1036",38,3,0,1,5,4,4,18,4,4,9,1,3,1,0,3,0,0,0,0
"37","1037",21,2,5,1,5,3,1,18,4,1,4,1,3,1,0,3,0,1,0,0
"38","1038",15,2,3,1,1,4,0,NA,3,0,NA,0,3,0,0,3,0,0,0,0
"39","1039",25,3,2,1,1,4,1,21,2,1,26,1,3,1,0,4,1,1,0,0
"40","1040",21,2,5,2,96,2,1,19,3,1,20,1,3,1,0,3,0,1,0,0
"41","1041",44,1,7,2,96,3,6,22,2,6,9,1,3,0,0,4,0,1,0,0
"42","1042",33,3,1,1,96,4,2,21,2,2,6,1,3,NA,3,1,1,1,1,0
"43","1043",33,2,5,1,1,5,0,NA,3,0,NA,1,3,0,0,4,0,1,0,0
"44","1044",18,3,1,1,1,5,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"45","1045",47,1,7,1,13,3,4,23,3,4,14,1,3,NA,1,1,0,1,0,0
"46","1046",20,3,1,1,1,3,0,NA,8,0,NA,8,3,0,0,4,0,0,0,0
"47","1047",17,2,4,1,1,3,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"48","1048",29,3,0,1,1,5,1,21,2,1,11,0,3,0,0,4,0,1,1,0
"49","1049",39,2,3,1,5,2,4,21,2,4,10,1,3,NA,6,1,0,0,0,0
"50","1050",15,2,2,1,1,2,0,NA,4,0,NA,0,3,0,0,4,0,0,0,0
"51","1051",26,2,3,1,37,4,1,17,2,1,17,0,3,NA,1,1,1,1,0,0
"52","1052",49,3,3,2,2,4,2,31,2,1,10,1,3,0,0,4,1,1,0,0
"53","1053",18,2,5,2,1,4,0,NA,2,0,NA,1,3,0,0,4,1,1,0,0
"54","1054",29,2,3,1,1,3,5,18,2,5,11,0,3,NA,3,1,0,1,0,0
"55","1055",22,2,2,1,1,3,2,15,4,2,19,0,3,0,0,4,0,1,0,0
"56","1056",47,1,7,1,5,3,5,30,2,5,14,1,3,NA,6,1,0,1,0,0
"57","1057",15,2,2,1,1,3,0,NA,2,0,NA,1,3,0,0,4,0,1,0,0
"58","1058",25,2,5,1,1,4,4,17,2,4,14,1,3,NA,9,2,1,1,1,0
"59","1059",17,2,4,1,1,4,0,NA,4,0,NA,1,3,0,0,4,0,1,0,0
"60","1060",47,2,5,1,1,3,8,19,2,7,7,8,3,NA,6,1,0,1,0,0
"61","1061",15,2,2,1,1,3,0,NA,8,0,NA,8,3,0,0,3,0,1,0,0
"62","1062",20,2,5,1,3,3,1,18,2,1,14,1,3,NA,1,1,0,1,0,0
"63","1063",17,2,5,2,1,3,0,NA,2,0,NA,8,3,0,0,3,0,1,0,0
"64","1064",16,2,1,1,1,2,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"65","1065",18,3,1,1,1,4,0,NA,2,0,NA,1,3,0,0,3,0,1,0,0
"66","1066",41,2,5,1,1,3,3,19,2,3,26,1,3,NA,8,2,0,1,0,0
"67","1067",16,2,4,1,1,3,0,NA,2,0,NA,1,3,0,0,3,0,1,0,0
"68","1068",32,2,5,1,5,4,0,NA,2,0,NA,1,3,0,0,4,0,0,0,0
"69","1069",15,2,2,1,1,4,0,NA,8,0,NA,8,3,0,0,4,0,0,0,0
"70","1070",40,3,3,1,37,5,5,29,3,5,29,1,3,1,0,4,0,1,0,0
"71","1071",45,2,5,2,5,4,5,23,3,4,9,8,3,NA,1,1,1,1,0,0
"72","1072",15,2,3,2,1,4,0,NA,8,0,NA,8,3,0,0,4,0,0,0,0
"73","1073",19,2,5,1,1,3,0,NA,8,0,NA,8,3,0,0,4,0,1,0,0
"74","1074",15,1,5,2,1,3,0,NA,2,0,NA,0,3,0,0,4,0,0,0,0
"75","1075",21,2,5,1,1,3,2,19,8,2,19,1,3,NA,11,1,0,1,0,0
"76","1076",19,2,5,1,1,3,1,19,3,1,20,0,3,0,0,4,0,1,0,0
"77","1077",25,2,3,2,1,3,2,17,3,2,19,1,3,1,0,4,0,1,0,0
"78","1078",47,2,5,2,13,4,5,25,3,5,22,1,3,1,0,4,1,1,1,0
